"Mês/Ano";"Tipo";"Tipo de Favorecido";"UF";"Nome do Favorecido";"CPF/CNPJ";"Município";"Função";"Programa Orçamentário";"Ação Orçamentária";"Linguagem Cidadã";"Valor Transferido";
"01/2021";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"2.975.785,41";
"02/2021";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"3.900.500,15";
"03/2021";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"2.614.423,32";
"04/2021";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"2.733.181,46";
"05/2021";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"3.284.907,75";
"06/2021";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"2.840.935,16";
"07/2021";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"4.232.907,22";
"08/2021";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"3.103.623,68";
"09/2021";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"2.437.391,76";
"10/2021";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"2.716.067,81";
