"Mês/Ano";"Tipo";"Tipo de Favorecido";"UF";"Nome do Favorecido";"CPF/CNPJ";"Município";"Função";"Programa Orçamentário";"Ação Orçamentária";"Linguagem Cidadã";"Valor Transferido";
"01/2014";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"2.238.365,22";
"02/2014";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"2.390.246,66";
"03/2014";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"1.417.882,52";
"04/2014";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"1.618.274,17";
"05/2014";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"2.156.549,32";
"06/2014";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"1.617.272,80";
"07/2014";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"1.389.032,70";
"08/2014";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"1.687.438,38";
"09/2014";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"1.479.180,83";
"10/2014";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"1.397.978,21";
"11/2014";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"1.850.402,94";
"12/2014";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"3.212.115,96";
