"Mês/Ano";"Tipo";"Tipo de Favorecido";"UF";"Nome do Favorecido";"CPF/CNPJ";"Município";"Função";"Programa Orçamentário";"Ação Orçamentária";"Linguagem Cidadã";"Valor Transferido";
"01/2022";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"3.647.198,92";
"02/2022";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"5.091.182,12";
"03/2022";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"3.086.481,18";
"04/2022";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"3.658.573,12";
"05/2022";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"4.069.797,50";
"06/2022";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"3.808.072,21";
"07/2022";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"5.590.304,12";
"08/2022";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"3.723.899,05";
"09/2022";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"3.513.653,00";
"10/2022";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"3.263.202,59";
"11/2022";"Constitucionais e Royalties";"Administração Pública Municipal";"MG";"MUNICIPIO DE PEDRO LEOPOLDO";"23.456.650/0001-41";"PEDRO LEOPOLDO";"Encargos especiais";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"FPM - CF art. 159";"4.101.251,63";
